"~id","~labels","name","icon","id","type","desc","quality"
"4","Material","铁卫扣饰","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/04/190590294/6f9519e9cb9b46e82cc4cff4919ebabc_2954580580308164034.png",134,"角色晋阶材料","银鬃铁卫士兵佩戴的扣针徽章。强化所需的简单材料。 风霜刮蚀下满是磨痕。 「在古老的年代，银鬃铁卫只有一种退休的形式：那就是死亡。」","二星"
"6","Material","猎兽之矢","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/09/187636729/ab043127539d6ec2f8861da56f95ace3_5829921949353109106.png",129,"行迹材料","仙舟匠人以星间寒铁锻造的箭头。可小幅提升巡猎角色的命途行迹。 在行成年礼时，父母们将它赠予狩猎了人生中第一头猎物的少年少女们，期许他们的生命如离弦之矢，终能中的。 「愿腰间箭，匣中剑，不空蠹。」","二星"
"8","Material","屠魔之矢","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/09/187636729/06b040df32e975b23f6aa6decefeade1_6152916111527137663.png",286,"行迹材料","仙舟匠人以星辰天瑛精心锻造的箭头。可中幅提升巡猎角色的命途行迹。  「天上谪仙来，乘槎渡星海。飞矢坠急雨，明盔映月白。」","三星"
"9","Material","铁卫军徽","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/04/190590294/2ad04c3c626ce57cfaef75827f3f9427_8685476797685454281.png",383,"角色晋阶材料","银鬃铁卫队长佩戴的军衔标志。强化所需的普通材料。 也许是在家人面前夸耀的证明，也许是挡住子弹的幸运符。 「时代变了。」","三星"
"12","Material","逐星之矢","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/09/187636729/5c7fe6ac1ecedbb7e90c81e43fc8f12a_288050265048154988.png",279,"行迹材料","帝弓司命射出的倾天光矢的碎片。可大幅提升巡猎角色的命途行迹。  无缘不可目睹的神迹残余。超逸光年，击破天星，人们只能从光矢留下的余烬中追想其力量。 也只有仙舟的工匠首领百冶才有资格将碎片重铸，赠予功业盖世的大英雄。 「星裂天倾，光昭万古。」","四星"
"13","Material","铁卫勋章","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/03/190590294/ba37b1df420041569969b9083c2d76cd_248814200082319820.png",382,"角色晋阶材料","功勋铁卫佩戴的军功章。强化所需的高级材料。 对抗裂隙魔物，地底人和突发灾变后颁授的荣誉证明。 它往往不在获勋者的胸膛上，而是摆在他的棺椁上。 「它不是玩具，小杰。记好了：这是朗道家族的使命，是朗道家族的血。」","四星"
"17","Material","古代零件","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/03/190590294/c6fe07c33653d6f6d5bbdf8c3b414c2b_3532806921450131048.png",136,"角色晋阶材料","旧世界时代遗留的机器零件。强化所需的简单材料。 尽管体积微不足道，却以如今的人们难以重现的技术铸造打磨而成。 「旧世界的一颗小螺丝都比我们的盔甲结实。 」","二星"
"19","Material","灵感之钥","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/09/187636729/cd7ca55484cad011043a5d282f58e8c5_1250601579558821782.png",43,"行迹材料","出现在苦思学者手中的幻之钥匙。可小幅提升智识角色的命途行迹。 可以解锁被封存在意识深处的灵感。 抓住钥匙，即是抓住了思维中蹿闪的火花，照亮了前进的道路。 「尤里卡！」","二星"
"21","Material","启迪之钥","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/09/187636729/494e711c5d14aefc89e62bd8af872d1d_3436335744987584316.png",285,"行迹材料","出现诸界智者手中的幻之钥匙。可中幅提升智识角色的命途行迹。 能够打开囚禁了真理的谜题之锁，寻获人智难以领悟的启迪。 无论持有者如何展示证明，身边的人却看不见钥匙的存在。有人相信这是上天的垂怜，有人认为这是精神失常的先兆。 「我做了一个梦，梦见分子们如蛇般盘起，首尾相衔。醒来后才意识到，这不是我一直在找的答案吗？」","三星"
"22","Material","古代转轴","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/03/190590294/fbde38ed82a0540c810e64c07dec9a48_8268924113225348716.png",180,"角色晋阶材料","旧世界时代遗留的机器传动轴。强化所需的普通材料。 精密结合的机件一旦拆开就再也无法复原，即使贝洛伯格技术部的维修老手也不敢轻易动它。 「笨蛋，这东西交给蓝甲人才值几个罐头？拿去给史瓦罗大佬，保你吃穿不愁。」","三星"
"25","Material","智识之钥","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/09/187636729/b6f5a3e76d68417afdd7e51687c852a4_7780295946353137227.png",278,"行迹材料","出现在银河顶级天才手中的幻之钥匙。可大幅提升智识角色的命途行迹。 此为受邀请者的证明，能够开启智识殿堂的门扉。 钥匙就在手中，但寻到它能开启的大门却比得到钥匙更为艰辛。穿越门扉之人会意识到，一经踏入将再也没有回头的可能。 「智识不能告诉你宇宙的答案，但智识能让你明白如何提问。」","四星"
"26","Material","古代引擎","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/03/190590294/2a156a923e18f13a67d2c7e9dd71787e_5727976405006145355.png",179,"角色晋阶材料","旧世界时代遗留的机器引擎。强化所需的高级材料。 以地髓为能量注入动力，运转时喷燃的并非火星，而是游走的极光。 「只有执政官直属的技术部有权调阅旧世界的资料，我嘛，被开除后就进不去啦。」","四星"
"37","Material","熄灭原核","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/04/190590294/8585e5f716ab28ac9330369a910fd3c5_7986552310968932910.png",51,"角色晋阶材料","裂界中徘徊怪物的心脏。强化所需的简单材料。 就像孳生恶瘤的病灶，引致罪行的冲动，它是裂界扭曲的源头。 在沉重的打击下，这颗心脏已然停止搏动，失去了光泽。 「初步判定它是某种杂交产物：一半原体，另一半的数据与星核高度拟合——生物科，莎拉·卡斯特罗」","二星"
"39","Material","丰饶之种","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/09/187636729/44e55235cf9017e2095d87fa5b897d87_8417148024016535219.png",50,"行迹材料","丰饶之神撒下的赐福种子。可小幅提升丰饶角色的命途行迹。 接触到它的人，伤口和疾病会缓缓治愈。与绝望中祈求生命赐福的人们，总能获得垂怜。 「令诸所求，必有所得。」","二星"
"41","Material","生命之芽","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/09/187636729/23006131327221e4b88a77e22f069001_5124315611884345386.png",281,"行迹材料","自丰饶之种中冒尖的嫩芽。可中幅提升丰饶角色的命途行迹。 「凡胎育化，生生不竭。」","三星"
"42","Material","微光原核","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/04/190590294/fe160a20c63810aa31a6797a791e1ecb_8253241673895578689.png",199,"角色晋阶材料","裂界中徘徊的怪物的心脏。强化所需的普通材料。 就像孳生恶瘤的病灶，引致罪行的冲动，它是裂界扭曲的源头。 这颗心脏已然闪着微光，其上的纹路仍有生命力。 「这究竟是什么怪物？你看见了吗——那是上一任队长的脸，是他的脸！」","三星"
"45","Material","永恒之花","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/11/190590294/4ba4937ae825241f7420e8ef2fb202c9_552677010288333627.png",274,"行迹材料","由生命之芽结出的美丽花朵。可大幅提升丰饶角色的命途行迹。 花蕊中凝结了丰饶之力，永远不会凋零。无论将之置于火焰、冰霜或是诸般恶境中，也不能稍抑其生长的势头。 假以时日，其枝叶将以星光为食；其根系将以众生血肉为壤，连结一体，不死不灭；其果实将是兑现永生的承诺。 「有庞然舟舸，势逾山岳，凌虚浮行。上有不死树，食之乃寿。」","四星"
"46","Material","蠢动原核","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/04/190590294/dbb8820ef95aa1dda7bf8b348aa9f223_3001372201495844379.png",381,"角色晋阶材料","裂界中徘徊怪物的心脏。强化所需的高级材料。 就像孳生恶瘤的病灶，引致罪行的冲动，它是裂界扭曲的源头。 这颗心脏依然缓缓律动，其力量残留，必将引发新的灾难，为恐再生事端，最好尽快将它灭活处理。 「就像癌变......」","四星"
"51","Material","破碎残刃","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/03/187636729/293f9de1b9d70f0e6694eba235dd3731_5517940245226584428.png",139,"行迹材料","反物质军团成员遗落的武器碎片。可小幅提升毁灭角色的命途行迹。 这柄武器代表着其主人在军团中的位阶和「毁灭」的功业。 「持此刃者，受命摧毁列国。 」","二星"
"53","Material","无生残刃","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/11/190590294/5e49e3db9c5d47d130dcfd9d0071e06b_8758643755104884366.png",287,"行迹材料","反物质军团成员遗落的武器残锷。可中幅提升毁灭角色的命途行迹。 这柄武器代表着其主人在军团中的位阶和「毁灭」的功业。","三星"
"56","Material","净世残刃","https://uploadstatic.mihoyo.com/sr-wiki/2022/09/01/2563764/3bc226be35c97aaa90239777c16dbe67_2352879305112629616.png",280,"光锥晋阶材料","反物质军团成员遗落的残损武器。可大幅提升毁灭角色的命途行迹。 这柄武器的主人负责在战争尾声时登场，点燃劫火焚烧世界。无论受何方神明眷顾，无论曾拥有何等辉煌的基业，这颗星球终将如同熄灭的炭烬，在星空深处暗淡死去。","四星"
"61","Material","黯淡黑曜","https://uploadstatic.mihoyo.com/sr-wiki/2023/03/09/187636729/e3f5910904c45e4de2f6081fcf7901cf_8071151320814886069.png",141,"行迹材料","一片自虚空中捕获的黑质。可小幅提升虚无角色的命途行迹。 任何手段都无法验明它的本体。 轻轻触碰，从碎片中传来不明的呓语。 「▉▉▉▉ ▉▉ ▉ ▉」","二星"
