"~id","~labels","destiny","name","icon","id","big_pic","quality","desc"
"2","Light_cones","巡猎","唯有沉默","https://uploadstatic.mihoyo.com/sr-wiki/2022/09/06/214441058/1bf2de267ae2cf2756933c74f7f5a7fd_1839914649064583617.png",66,"https://act-upload.mihoyo.com/sr-wiki/2023/04/23/214441058/836d26b9afc526416e1eeb16e87dd24e_7472614043952629802.png","四星","「已经到站了，不下车吗？」头顶传来一声轻笑。他的眼睛动了动，没有抬头。「事先说明，小三月总说你面无表情，我可不这么觉得。」「列车智库的数据有更新输入的痕迹，但是却没保存结果。」「所以...哪个条目还能难住你？」他捏紧了笔，看着笔记本上那个仅凭印象复写而成的惨烈之景。「原来如此，是关于你自己的事......」"
"15","Light_cones","智识","「我」的诞生","https://act-upload.mihoyo.com/sr-wiki/2023/04/23/288909604/f4d317263de340acdc8c16dd32bff0cf_3161238771766216041.png",196,"https://uploadstatic.mihoyo.com/sr-wiki/2022/08/29/75216984/1ec0d1ce4263c8cc1e2813d4d75c7727_8041628449201503368.png","四星","刚开始，它和上一幅画像中的姿势完全一致。她看着这张和自己一模一样的脸,认定这还不是她。「世上怎么可能会有两幅相同的画像呢?」她摆弄着它的关节，教它睁开眼，教它的手指变得更柔软。她满意地住了手。「和昨天截然不同，这才是今天的我。」"
"28","Light_cones","智识","别让世界静下来","https://uploadstatic.mihoyo.com/sr-wiki/2022/08/23/2563764/49d4e09db83b5210a9126f6185b60be6_4668910007538970935.png",200,"https://uploadstatic.mihoyo.com/sr-wiki/2022/08/23/2563764/e96dc849c5f4ecf75b5b1a5baab307ac_8492084169542483544.png","四星","她在台上挥着手，希望每个人跟着她一起发出自己的声音。不管是歌唱、呐喊、哀叹，以任何形式。发出自己的声音，直到有人听见，才会有人加入。「别让心冷了，变得和这个城市一样冷。」——别让世界静下来。"
"35","Light_cones","丰饶","一场术后对话","https://uploadstatic.mihoyo.com/sr-wiki/2022/08/26/214441058/50bca736f242b12981bc2d5b7fd32fa8_8738251059749981508.png",221,"https://act-upload.mihoyo.com/sr-wiki/2023/04/23/214441058/6aaba220593ca3eeb7464499d36bb607_5464502073708400711.png","四星","「你醒了...谢谢。」「你...救了我...娜塔莎。该说谢谢的人...是我。」「不，是我要感谢你......坚持到我完成手术。」 医生与病人疲惫地相视一笑，再也没有说话。"
"48","Light_cones","毁灭","秘密誓心","https://uploadstatic.mihoyo.com/sr-wiki/2022/08/29/75216984/e3c4f6a43e826c094d57dfd419ded965_6525176981100070009.png",222,"https://uploadstatic.mihoyo.com/sr-wiki/2022/08/29/75216984/759d8b438f5e850506d47b68b8a9c9b2_7893548240675079161.png","四星","每次出发前,男孩都要仔细地检查护肘和手套。那是他最钟爱的手套,它足够严实,可以藏起很多秘密。如此一来,没有人可以看见他手上的绷带，以及绷带下的伤口。大家把他当作一个普通人，普通地和他打着招呼。这就够了。"
"58","Light_cones","虚无","晚安与睡颜","https://uploadstatic.mihoyo.com/sr-wiki/2022/09/06/214441058/a20cea1a2fe68a4b997a7cc7a16fb796_2817300940510919170.png",224,"https://act-upload.mihoyo.com/sr-wiki/2023/04/23/214441058/1aa1995b3bd4e368aa7f2d103f641fc3_8982028545947536165.png","四星","静谧的灯光勾勒出尘埃的轨迹，平稳的呼吸里有少女香甜的梦呓。一个人影出现在她身后，悄无声息。「啧啧啧，果然还是摘掉眼镜比较可爱嘛。」吉他手端详着她的睡颜喃喃自语:「晚安，爱操心的天才少女。」"
"68","Light_cones","虚无","猎物的视线","https://act-upload.mihoyo.com/sr-wiki/2023/04/23/288909604/d14092f8f3967ed9135fd01b881f6701_6087540964279426418.png",225,"https://uploadstatic.mihoyo.com/sr-wiki/2022/08/23/2563764/519d12cd6e8b133a9608600715cdc4d3_1229185694821184541.png","四星","事实上，猎物多半不会意识到自己的处境。眼前的这个猎物也是如此。瞄准镜缓缓转动，男人仍自顾自地抛洒着一叠又一叠的纸钞。「看他那贪婪的样子，这点钱够我做几单生意了...怪不得有人要干掉他。」 像是听到了他心中的感慨，男人转过头来。「等你好久了，这些钱够不够让你听听我的条件再做决定?」"
"75","Light_cones","毁灭","鼹鼠党欢迎你","https://act-upload.mihoyo.com/sr-wiki/2023/04/23/288909604/dbfff3889135f0ab55da50781b7ea1b0_3070654287580623531.png",241,"https://uploadstatic.mihoyo.com/sr-wiki/2022/09/06/214441058/70fd1d7765d5dbb75bc3083d1fec8bdd_3880401756621979907.png","四星","「鼹鼠党，鼹鼠党」「我们马上出发！」「机智鼹鼠不怕不怕」「鼹鼠党，鼹鼠党」「鼹鼠党开始冒险！」"
"85","Light_cones","同谐","记忆中的模样","https://uploadstatic.mihoyo.com/sr-wiki/2022/09/06/75216984/76fb08a0a6d6b3c0eb758e444f46e7fe_6929962503724089309.png",242,"https://act-upload.mihoyo.com/sr-wiki/2023/04/23/214441058/b0fecd6f4d1555c027f2a4b94e08cedb_1267155061596806234.png","四星","官邸的桌上摆放着一张老相片，在远远的一角。偶尔目光落在上面，她总会不自觉地错开视线。记忆中的模样虽已远去，但今天的梦仍自萦绕。"
"95","Light_cones","同谐","与行星相会","https://act-upload.mihoyo.com/sr-wiki/2023/04/23/288909604/610b8d5d97ff6b19b4224ae4ce536b40_1274111712135333947.png",244,"https://uploadstatic.mihoyo.com/sr-wiki/2022/09/07/75216984/9ed500b8d525d0788bab07a811253fad_233385356504456129.png","四星","上路时，她仍然对这趟远行一无所知。只知道终于能告别家中的百舌之声，躲避无处不在的明枪暗箭。直到她望向窗外时，她终于明白了那首诗的意味。「在某个时刻之后，我们不再行走，而是飞翔。」而她眼中闪动的亮光，正是行星的倒影。"
"102","Light_cones","巡猎","于夜色中","https://uploadstatic.mihoyo.com/sr-wiki/2022/09/06/75216984/162b37d19e0022e2e08f16ccd6b4fc51_426963160968759967.png",268,"https://uploadstatic.mihoyo.com/sr-wiki/2022/09/06/75216984/82ef1c687d6edfe2ee618b5fd93d3a04_2521102988506160639.png","五星","少女露出一丝不易察觉的微笑。「为什么呢?」「此时此刻此地,明明只有我一个人......」「却感觉...很热闹呢。」"
"109","Light_cones","存护","余生的第一天","https://uploadstatic.mihoyo.com/sr-wiki/2022/08/23/2563764/828fc434f583b8e598a0c4db5984fa8b_1637464810330840430.png",271,"https://act-upload.mihoyo.com/sr-wiki/2023/04/23/214441058/3790405a8eb01b7cd0ffc5dead6b1dab_4117873808209626352.png","四星","「今天帕姆换上了新衣服，开心~喜欢~」「今天过生日啦，今年的我依旧可爱。」「今天我终于终于终于也有后辈啦！是不是，【开拓者】？」—次次不假思索地按下快门。是为了抓住当时的快乐？还是抓住当时的自己？"
"119","Light_cones","虚无","以世界之名","https://act-upload.mihoyo.com/sr-wiki/2023/04/23/288909604/5f1094f9d27a9d14ce09c20177cee0c2_6109047475532171012.png",273,"https://act-upload.mihoyo.com/sr-wiki/2023/04/23/214441058/c0fc509ede6df08d5078279eb3a8b849_2167918559250891406.png","五星","「瓦尔特...吗.......」「这个名字...很棒吧? 」「那么.......」「从现在开始，你就是瓦尔特了。」「律者的核心...还有守护这个世界的使命....」「就拜托你了，瓦尔特。」"
